cluster_id,gA,sA,wA,N,g_mean,g_min,s_mean,d_eve,mu,chi,beta_A,rate_opt,nfeas_opt
169,1.7371,0.117518,27.7097,4,1.7251,1.68494,0.11768,35.7154,0.95,1,1.6125,1.47261e+07,4
170,1.73185,0.117587,27.7276,4,1.72507,1.67795,0.117683,36.0352,0.95,1,1.6125,1.47141e+07,4
171,1.72046,0.117739,27.7667,4,1.62956,1.60596,0.118997,22.6831,0.95,1,1.6125,1.33235e+07,4
172,1.74935,0.117356,27.6682,2,1.75404,1.74363,0.117295,22.1973,0.95,0.5,1.6125,8.04282e+06,2
173,1.76034,0.117212,27.6312,3,1.75901,1.73676,0.117231,29.3993,0.95,1,1.6125,1.18152e+07,3
174,1.74548,0.117407,27.6813,3,1.72271,1.68936,0.117712,34.7276,0.95,1,1.6125,1.18482e+07,3
175,1.72798,0.117639,27.7409,2,1.70683,1.68157,0.117926,26.1344,0.95,0.5,1.6125,8.43654e+06,2
176,1.76257,0.117183,27.6237,2,1.74574,1.72635,0.117405,40.4185,0.95,0.5,1.6125,8.85915e+06,2
177,1.72294,0.117706,27.7582,4,1.68643,1.64914,0.118205,25.0668,0.95,1,1.6125,1.39554e+07,4
178,1.77147,0.117068,27.594,4,1.75988,1.72658,0.117221,22.0383,0.95,1,1.6125,1.34979e+07,4
179,1.75777,0.117246,27.6398,4,1.73535,1.70588,0.117544,26.4443,0.95,1,1.6125,1.43522e+07,4
180,1.77316,0.117046,27.5884,3,1.74722,1.73241,0.117385,28.1503,0.95,1,1.6125,1.17465e+07,3
181,1.75732,0.117252,27.6413,2,1.75491,1.74816,0.117283,37.7147,0.95,0.5,1.6125,8.86071e+06,2
182,1.7604,0.117212,27.631,3,1.75613,1.74051,0.117268,35.1509,0.95,1,1.6125,1.19508e+07,3
183,1.78766,0.116859,27.5404,4,1.77395,1.75442,0.117036,41.1878,0.95,1,1.6125,1.49985e+07,4
184,1.73243,0.11758,27.7257,3,1.71651,1.70372,0.117793,30.7639,0.95,1,1.6125,1.17282e+07,3
185,1.7963,0.116749,27.5121,4,1.7805,1.76218,0.116952,28.9445,0.95,1,1.6125,1.48023e+07,4
186,1.78843,0.116849,27.5379,4,1.77251,1.7622,0.117054,33.6316,0.95,1,1.6125,1.49489e+07,4
187,1.79971,0.116706,27.5009,2,1.79861,1.79748,0.11672,41.6593,0.95,0.5,1.6125,9.00954e+06,2
188,1.79599,0.116753,27.5131,2,1.77817,1.75805,0.116983,25.0326,0.95,0.5,1.6125,8.54607e+06,2
189,1.77427,0.117031,27.5847,4,1.76165,1.74678,0.117196,38.8576,0.95,1,1.6125,1.49287e+07,4
190,1.73972,0.117483,27.7008,4,1.73338,1.6969,0.117569,32.8915,0.95,1,1.6125,1.47099e+07,4
191,1.72896,0.117626,27.7375,4,1.70051,1.674,0.118011,22.1447,0.95,1,1.6125,1.3332e+07,4
192,1.77186,0.117063,27.5927,4,1.74018,1.70029,0.11748,36.1734,0.95,1,1.6125,1.4861e+07,4
193,1.70086,0.118003,27.8347,4,1.66647,1.59842,0.118486,35.0828,0.95,1,1.6125,1.44906e+07,4
194,1.79382,0.116781,27.5202,4,1.77637,1.76875,0.117005,33.4615,0.95,1,1.6125,1.49697e+07,4
195,1.76905,0.117099,27.6021,2,1.75321,1.739,0.117306,38.2625,0.95,0.5,1.6125,8.87901e+06,2
196,1.78667,0.116872,27.5437,2,1.7589,1.73982,0.117233,32.3373,0.95,0.5,1.6125,8.87572e+06,2
197,1.7558,0.117272,27.6464,2,1.73101,1.72643,0.117599,33.3616,0.95,0.5,1.6125,8.79259e+06,2
198,1.79295,0.116792,27.523,3,1.79198,1.79099,0.116804,23.0424,0.95,1,1.6125,1.11876e+07,3
199,1.78852,0.116848,27.5376,2,1.754,1.7207,0.1173,26.7635,0.95,0.5,1.6125,8.65325e+06,2
200,1.78799,0.116855,27.5393,4,1.76613,1.74408,0.117138,34.5202,0.95,1,1.6125,1.49474e+07,4
201,1.7846,0.116899,27.5505,2,1.77485,1.76885,0.117024,32.2837,0.95,0.5,1.6125,8.89741e+06,2
202,1.73749,0.117512,27.7084,2,1.72596,1.71521,0.117666,24.7679,0.95,0.5,1.6125,8.35111e+06,2
203,1.79968,0.116706,27.501,2,1.79399,1.79078,0.116778,33.0155,0.95,0.5,1.6125,8.96525e+06,2
204,1.75799,0.117243,27.6391,4,1.73452,1.71575,0.117553,31.1807,0.95,1,1.6125,1.4713e+07,4
205,1.77913,0.116969,27.5686,2,1.74691,1.74687,0.117388,24.8044,0.95,0.5,1.6125,8.44747e+06,2
206,1.76295,0.117178,27.6224,3,1.73589,1.70628,0.117538,36.8593,0.95,1,1.6125,1.19285e+07,3
