t,sat_id,elevation_deg,zenith_deg,gamma0,sigma_X,w_eq,p_sift,qber,eve_error,secure
880,-1,,,,,,,,,0
885,-1,,,,,,,,,0
890,3,30.6536,59.3464,0.0633735,0.2164,53.9376,0.00244672,0.44771,0.492058,0
895,3,32.0334,57.9666,0.0781634,0.208696,51.8462,0.00239481,0.435498,0.490573,0
900,3,33.4895,56.5105,0.09619,0.201275,49.8381,0.00233483,0.420655,0.488869,0
905,3,35.0278,54.9722,0.118101,0.19413,47.9115,0.00226654,0.402712,0.486932,0
910,3,36.6541,53.3459,0.144646,0.187261,46.0649,0.00219016,0.381184,0.484748,0
915,3,38.3746,51.6254,0.176684,0.180664,44.2975,0.00210654,0.355624,0.482314,0
920,3,40.1957,49.8043,0.215171,0.174342,42.6091,0.00201736,0.325718,0.47963,0
925,3,42.1234,47.8766,0.261151,0.168297,41,0.00192522,0.291426,0.476712,0
930,3,44.1638,45.8362,0.315709,0.162535,39.471,0.00183363,0.253178,0.473585,0
935,3,46.3219,43.6781,0.379913,0.157063,38.0237,0.00174683,0.212076,0.47029,0
940,3,48.6021,41.3979,0.454712,0.151891,36.66,0.00166931,0.169989,0.466882,0
945,3,51.0066,38.9934,0.540792,0.147033,35.3825,0.00160523,0.129432,0.463431,0
950,3,53.5351,36.4649,0.638386,0.142501,34.1945,0.00155764,0.0930823,0.460018,0
955,3,56.1835,33.8165,0.74704,0.138312,33.0996,0.00152799,0.0630746,0.456728,0
960,3,58.9419,31.0581,0.865354,0.134486,32.1019,0.00151588,0.0403774,0.453646,0
965,3,61.7922,28.2078,0.990739,0.131041,31.206,0.00151924,0.0246415,0.450849,0
970,3,64.7039,25.2961,1.11925,0.127999,30.4165,0.00153484,0.0145749,0.448398,0
975,3,67.628,22.372,1.24556,0.12538,29.7383,0.00155879,0.00855878,0.446332,0
980,3,70.4858,19.5142,1.3632,0.123205,29.1758,0.00158687,0.00514647,0.444668,0
985,3,73.151,16.849,1.46502,0.121491,28.7334,0.00161478,0.00328323,0.443404,0
990,3,75.4231,14.5769,1.54397,0.120255,28.4146,0.0016384,0.00230406,0.442525,0
995,3,77.0102,12.9898,1.59407,0.119508,28.2221,0.0016542,0.00183591,0.442008,0
1000,3,77.5906,12.4094,1.61124,0.119258,28.1578,0.00165976,0.00169763,0.441838,0
1005,3,77.0102,12.9898,1.59407,0.119508,28.2221,0.0016542,0.00183591,0.442008,0
1010,3,75.4231,14.5769,1.54397,0.120255,28.4146,0.0016384,0.00230406,0.442525,0
1015,3,73.151,16.849,1.46502,0.121491,28.7334,0.00161478,0.00328323,0.443404,0
1020,3,70.4858,19.5142,1.3632,0.123205,29.1758,0.00158687,0.00514647,0.444668,0
1025,3,67.628,22.372,1.24556,0.12538,29.7383,0.00155879,0.00855878,0.446332,0
1030,3,64.7039,25.2961,1.11925,0.127999,30.4165,0.00153484,0.0145749,0.448398,0
1035,3,61.7922,28.2078,0.990739,0.131041,31.206,0.00151924,0.0246415,0.450849,0
1040,3,58.9419,31.0581,0.865354,0.134486,32.1019,0.00151588,0.0403774,0.453646,0
1045,3,56.1835,33.8165,0.74704,0.138312,33.0996,0.00152799,0.0630746,0.456728,0
1050,3,53.5351,36.4649,0.638386,0.142501,34.1945,0.00155764,0.0930823,0.460018,0
1055,3,51.0066,38.9934,0.540792,0.147033,35.3825,0.00160523,0.129432,0.463431,0
1060,3,48.6021,41.3979,0.454712,0.151891,36.66,0.00166931,0.169989,0.466882,0
1065,3,46.3219,43.6781,0.379913,0.157063,38.0237,0.00174683,0.212076,0.47029,0
1070,3,44.1638,45.8362,0.315709,0.162535,39.471,0.00183363,0.253178,0.473585,0
1075,3,42.1234,47.8766,0.261151,0.168297,41,0.00192522,0.291426,0.476712,0
1080,3,40.1957,49.8043,0.215171,0.174342,42.6091,0.00201736,0.325718,0.47963,0
1085,3,38.3746,51.6254,0.176684,0.180664,44.2975,0.00210654,0.355624,0.482314,0
1090,3,36.6541,53.3459,0.144646,0.187261,46.0649,0.00219016,0.381184,0.484748,0
1095,3,35.0278,54.9722,0.118101,0.19413,47.9115,0.00226654,0.402712,0.486932,0
1100,3,33.4895,56.5105,0.09619,0.201275,49.8381,0.00233483,0.420655,0.488869,0
1105,3,32.0334,57.9666,0.0781634,0.208696,51.8462,0.00239481,0.435498,0.490573,0
1110,3,30.6536,59.3464,0.0633735,0.2164,53.9376,0.00244672,0.44771,0.492058,0
1115,-1,,,,,,,,,0
1120,-1,,,,,,,,,0
1125,-1,,,,,,,,,0
1130,-1,,,,,,,,,0
1135,-1,,,,,,,,,0
1140,-1,,,,,,,,,0
1145,-1,,,,,,,,,0
1150,4,30.7433,59.2567,0.0642699,0.215878,53.7956,0.0024435,0.446969,0.491966,0
1155,4,31.9972,58.0028,0.0777483,0.208889,51.8985,0.00239623,0.435841,0.490613,0
1160,4,33.3011,56.6989,0.0937111,0.202197,50.0874,0.00234287,0.422692,0.489097,0
1165,4,34.6551,55.3449,0.112512,0.195801,48.3613,0.00228349,0.407275,0.487413,0
1170,4,36.0589,53.9411,0.134517,0.189699,46.7196,0.00221851,0.389366,0.485562,0
1175,4,37.5109,52.4891,0.160083,0.183895,45.1623,0.00214875,0.368803,0.48355,0
1180,4,39.0084,50.9916,0.189537,0.178391,43.6899,0.00207545,0.345529,0.48139,0
1185,4,40.5466,49.4534,0.223138,0.173194,42.3033,0.00200033,0.319656,0.479104,0
1190,4,42.1186,47.8814,0.26103,0.168311,41.0038,0.00192544,0.291513,0.47672,0
1195,4,43.7149,46.2851,0.303187,0.163751,39.7933,0.00185309,0.2617,0.474274,0
1200,4,45.3222,44.6778,0.349354,0.159523,38.6739,0.00178555,0.231084,0.471811,0
1205,4,46.9237,43.0763,0.398974,0.155641,37.6482,0.00172486,0.200746,0.469381,0
1210,4,48.4978,41.5022,0.451139,0.152116,36.719,0.00167251,0.171854,0.467036,0
1215,4,50.0179,39.9821,0.504549,0.148962,35.8892,0.00162933,0.145495,0.464829,0
1220,4,51.4526,38.5474,0.557512,0.146192,35.162,0.00159538,0.122505,0.462812,0
1225,4,52.7659,37.2341,0.607995,0.143821,34.5403,0.00157003,0.10337,0.46103,0
1230,4,53.9183,36.0817,0.653735,0.141861,34.0271,0.00155213,0.0882203,0.459523,0
1235,4,54.8696,35.1304,0.69241,0.140323,33.6249,0.00154028,0.0769127,0.458321,0
1240,4,55.5817,34.4183,0.721854,0.139218,33.336,0.00153306,0.069159,0.457448,0
1245,4,56.0231,33.9769,0.740299,0.138551,33.1619,0.00152925,0.0646554,0.456918,0
1250,4,56.1726,33.8274,0.746582,0.138329,33.1038,0.00152808,0.0631809,0.456741,0
1255,4,56.0231,33.9769,0.740299,0.138551,33.1619,0.00152925,0.0646554,0.456918,0
1260,4,55.5817,34.4183,0.721854,0.139218,33.336,0.00153306,0.069159,0.457448,0
1265,4,54.8696,35.1304,0.69241,0.140323,33.6249,0.00154028,0.0769127,0.458321,0
1270,4,53.9183,36.0817,0.653735,0.141861,34.0271,0.00155213,0.0882203,0.459523,0
1275,4,52.7659,37.2341,0.607995,0.143821,34.5403,0.00157003,0.10337,0.46103,0
1280,4,51.4526,38.5474,0.557512,0.146192,35.162,0.00159538,0.122505,0.462812,0
1285,4,50.0179,39.9821,0.504549,0.148962,35.8892,0.00162933,0.145495,0.464829,0
1290,4,48.4978,41.5022,0.451139,0.152116,36.719,0.00167251,0.171854,0.467036,0
1295,4,46.9237,43.0763,0.398974,0.155641,37.6482,0.00172486,0.200746,0.469381,0
1300,4,45.3222,44.6778,0.349354,0.159523,38.6739,0.00178555,0.231084,0.471811,0
1305,4,43.7149,46.2851,0.303187,0.163751,39.7933,0.00185309,0.2617,0.474274,0
1310,4,42.1186,47.8814,0.26103,0.168311,41.0038,0.00192544,0.291513,0.47672,0
1315,4,40.5466,49.4534,0.223138,0.173194,42.3033,0.00200033,0.319656,0.479104,0
1320,4,39.0084,50.9916,0.189537,0.178391,43.6899,0.00207545,0.345529,0.48139,0
1325,4,37.5109,52.4891,0.160083,0.183895,45.1623,0.00214875,0.368803,0.48355,0
1330,4,36.0589,53.9411,0.134517,0.189699,46.7196,0.00221851,0.389366,0.485562,0
1335,4,34.6551,55.3449,0.112512,0.195801,48.3613,0.00228349,0.407275,0.487413,0
1340,4,33.3011,56.6989,0.0937111,0.202197,50.0874,0.00234287,0.422692,0.489097,0
1345,4,31.9972,58.0028,0.0777483,0.208889,51.8985,0.00239623,0.435841,0.490613,0
1350,4,30.7433,59.2567,0.0642699,0.215878,53.7956,0.0024435,0.446969,0.491966,0
1355,-1,,,,,,,,,0
1360,-1,,,,,,,,,0
1365,-1,,,,,,,,,0
1370,-1,,,,,,,,,0
1375,-1,,,,,,,,,0
1380,-1,,,,,,,,,0
1385,-1,,,,,,,,,0
1390,5,30.9666,59.0334,0.0665404,0.214591,53.4458,0.00243539,0.445093,0.491733,0
1395,5,32.3795,57.6205,0.0822179,0.206869,51.3513,0.00238101,0.432155,0.49018,0
1400,5,33.8737,56.1263,0.10138,0.199427,49.3392,0.00231821,0.416394,0.488398,0
1405,5,35.4557,54.5443,0.124741,0.192258,47.4077,0.0022468,0.397302,0.48637,0
1410,5,37.1324,52.8676,0.153138,0.185361,45.5554,0.00216711,0.374359,0.484083,0
1415,5,38.9114,51.0886,0.187533,0.178734,43.7814,0.00208021,0.347097,0.481533,0
1420,5,40.8005,49.1995,0.229013,0.172378,42.0857,0.00198806,0.315216,0.478722,0
1425,5,42.8077,47.1923,0.278773,0.166296,40.4685,0.00189366,0.278762,0.475665,0
1430,5,44.9413,45.0587,0.33808,0.160494,38.9307,0.001801,0.238354,0.472394,0
1435,5,47.2097,42.7903,0.408205,0.154979,37.4738,0.00171479,0.195407,0.468951,0
1440,5,49.6206,40.3794,0.490314,0.149763,36.1,0.0016399,0.152204,0.465399,0
1445,5,52.1815,37.8185,0.585305,0.144858,34.8119,0.00158064,0.111646,0.461815,0
1450,5,54.8984,35.1016,0.693595,0.140278,33.613,0.00153996,0.0765866,0.458285,0
1455,5,57.7759,32.2241,0.814837,0.136041,32.507,0.00151891,0.0489746,0.454904,0
1460,5,60.8162,29.1838,0.947613,0.132166,31.4983,0.00151654,0.0292683,0.451762,0
1465,5,64.0185,25.9815,1.08912,0.128675,30.5917,0.00153029,0.0165101,0.448939,0
1470,5,67.3781,22.6219,1.23496,0.125588,29.792,0.00155652,0.008955,0.446494,0
1475,5,70.8863,19.1137,1.37905,0.122929,29.1045,0.00159101,0.00480138,0.444461,0
1480,5,74.529,15.471,1.51386,0.120718,28.5338,0.0016292,0.00263871,0.44285,0
1485,5,78.2876,11.7124,1.63102,0.118975,28.0847,0.00166624,0.00155084,0.441646,0
1490,5,82.1381,7.86188,1.72216,0.117717,27.7609,0.00169728,0.00101853,0.440821,0
1495,5,86.0526,3.94736,1.78011,0.116956,27.5653,0.00171796,0.00077721,0.440342,1
1500,5,90,0,1.8,0.116702,27.4999,0.00172523,0.00070793,0.440186,1
1505,5,86.0526,3.94736,1.78011,0.116956,27.5653,0.00171796,0.00077721,0.440342,1
1510,5,82.1381,7.86188,1.72216,0.117717,27.7609,0.00169728,0.00101853,0.440821,0
1515,5,78.2876,11.7124,1.63102,0.118975,28.0847,0.00166624,0.00155084,0.441646,0
1520,5,74.529,15.471,1.51386,0.120718,28.5338,0.0016292,0.00263871,0.44285,0
1525,5,70.8863,19.1137,1.37905,0.122929,29.1045,0.00159101,0.00480138,0.444461,0
1530,5,67.3781,22.6219,1.23496,0.125588,29.792,0.00155652,0.008955,0.446494,0
1535,5,64.0185,25.9815,1.08912,0.128675,30.5917,0.00153029,0.0165101,0.448939,0
1540,5,60.8162,29.1838,0.947613,0.132166,31.4983,0.00151654,0.0292683,0.451762,0
1545,5,57.7759,32.2241,0.814837,0.136041,32.507,0.00151891,0.0489746,0.454904,0
1550,5,54.8984,35.1016,0.693595,0.140278,33.613,0.00153996,0.0765866,0.458285,0
1555,5,52.1815,37.8185,0.585305,0.144858,34.8119,0.00158064,0.111646,0.461815,0
